Council_ID,Location,Site,Type,Accessible,Ambulant,DDA_Access,DoorsAuto,SocialUse,Lat,Long
00036770,"Public Toilets Female (adj Ebden St), 211 Peel St Nth, Ballarat East",Eastern Oval,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5583357287653,143.862266366189
00036771,"Public Toilets Female (adj Peel St), 211 Peel St Nth, Ballarat East",Eastern Oval,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5573537846158,143.864685513864
00036772,"Public Toilets Male (adj Creek), 211 Peel St Nth, Ballarat East",Eastern Oval,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5577340528002,143.862131708353
00038031,"Public Toilets Male (Adj Peel St Nth), 211 Peel St Nth, Ballarat East",Eastern Oval,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5574136596935,143.864660928755
00036782,"Public Toilets, 525 Eureka St, Eureka",Eureka Stockade,B-Public Toilet,2,Not Applicable,Yes,Yes,Public Facilities,-37.5647113585289,143.88596390056
00036808,"Public Toilet, East Shore, Lake Burrumbeet, Burrumbeet",Lake Burrumbeet Reserve,B-Public Toilet,1,No,No,No,Public Facilities,-37.4914647883285,143.6695577071
00036815,"Public Toilets, 233 Larter St, Canadian",Lake Esmond Botanical Park,B-Public Toilet,2,Not Applicable,Yes,No,Public Facilities,-37.5751449737246,143.874770421893
00036819,"Public Toilets (opp Speed Boat Club), Foreshore Road, Learmonth",Lake Learmonth,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.4338799212891,143.725194906154
00036820,"Public Toilets (adj Yacht Club), Foreshore Road, Learmonth",Lake Learmonth,B-Public Toilet,1,No,Yes,No,Public Facilities,-37.4358203068333,143.724848510865
00036854,"Ballarat Grammer Shed Public Toilets, Wendouree Pde, Lake Wendouree",Lake Wendouree Reserve,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.5438627258709,143.831220739939
00036855,"Canoe Club Public Toilets, Wendouree Pde, Lake Wendouree",Lake Wendouree Reserve,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.5532618441834,143.843191718198
00036856,"Underground Public Toilets, Wendouree Pde, Lake Wendouree",Lake Wendouree Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5561774396644,143.824711685788
00093019,"Ballarat Yacht Club Public Toilet, Wendouree Pde, Wendouree",Lake Wendouree Reserve,B-Public Toilet,3,1,Yes,No,Public Facilities,-37.5555450559722,143.838683586903
00036878,"Public Toilets, 10B Barkly St, Ballarat East",Len T Frazer Reserve,B-Public Toilet,2,Not Applicable,No,No,Public Facilities,-37.5659662299459,143.867336216419
00036890,"Public Toilets, York St, Golden Point",Llanberris Athletics Reserve,B-Public Toilet,No,No,No,No,Public Facilities,-37.5695078182289,143.865380588142
00036891,"Public Toilets Disabled, York St, Golden Point",Llanberris Athletics Reserve,B-Public Toilet,Not Applicable,Not Applicable,Yes,No,Public Facilities,-37.5695563921373,143.865391038314
