Street,From,To,Side,Capacity*,13/05/2016 8:00,13/05/2016 9:30,13/05/2016 11:00,13/05/2016 12:30,13/05/2016 14:00,13/05/2016 15:30,13/05/2016 17:00,13/05/2016 21:30,14/05/2016 8:00,14/05/2016 9:30,14/05/2016 11:00,14/05/2016 12:30,14/05/2016 14:00,14/05/2016 15:30,14/05/2016 17:00
Field Street,Camp Street,Grenville Street North,North,7,100%,100%,100%,100%,100%,100%,71%,86%,14%,29%,57%,100%,100%,57%,14%
Field Street,Camp Street,Grenville Street North,South,10,20%,100%,100%,100%,100%,90%,70%,90%,20%,30%,50%,60%,100%,70%,50%
Field Street Carpark,,,,41,2%,63%,73%,76%,85%,73%,44%,10%,0%,15%,12%,15%,22%,20%,5%
Gent Street,East Street North,Princes Street North,North,14,14%,36%,57%,71%,86%,64%,57%,7%,14%,43%,21%,50%,64%,79%,71%
Gent Street,East Street North,Princes Street North,South,11,9%,9%,18%,36%,18%,9%,0%,0%,9%,18%,27%,27%,18%,0%,0%
Grenville Street North,Cattan Street,Field Street,West,13,0%,38%,15%,69%,46%,77%,62%,62%,0%,15%,92%,92%,54%,54%,0%
Grenville Street North,Cattan Street,Sturt Street,West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenville Street North,Curtis Street,Shepherd Street,East,17,0%,82%,76%,94%,94%,76%,71%,53%,0%,65%,100%,94%,100%,100%,18%
Grenville Street North,Field Street,Mair Street,West,1,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,100%,0%,100%,100%,0%
Humffray Street,Corbett Street,Mair Street East,East,6,50%,33%,67%,100%,50%,83%,67%,83%,33%,0%,33%,33%,33%,33%,67%
Humffray Street,Corbett Street,Mair Street East,West,9,44%,33%,44%,78%,56%,56%,56%,56%,0%,11%,11%,11%,22%,22%,22%
Humffray Street,Mair Street East,Victoria Street,East,10,20%,70%,60%,40%,40%,80%,10%,20%,0%,0%,30%,10%,10%,10%,0%
Humffray Street,Mair Street East,Victoria Street,West,12,17%,75%,50%,75%,25%,58%,25%,0%,0%,25%,50%,42%,33%,42%,17%
Little Raglan Street,Mair Street,End of Court,East,6,0%,0%,0%,0%,0%,0%,0%,17%,0%,0%,17%,0%,0%,17%,17%
Little Raglan Street,Mair Street,End of Court,West,12,83%,83%,92%,100%,92%,58%,33%,50%,33%,50%,33%,33%,50%,50%,50%
Lowe Street,Curtis Street,Shepherd Street,East,7,0%,71%,14%,71%,43%,71%,43%,0%,0%,29%,71%,71%,57%,29%,29%
Lowe Street,Curtis Street,Shepherd Street,West,21,0%,24%,24%,57%,57%,57%,33%,0%,0%,29%,48%,81%,67%,29%,29%
Lydiard Street North,Mair Street,Market Street,East,15,27%,73%,93%,80%,87%,73%,80%,87%,47%,60%,60%,100%,80%,100%,93%
Lydiard Street North,Mair Street,Market Street,West,4,75%,100%,100%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%,100%,100%
Lydiard Street North,Mair Street,Police Lane,East,17,59%,24%,76%,82%,65%,88%,100%,106%,24%,82%,88%,94%,76%,88%,100%
Lydiard Street North,Mair Street,Sturt Street,West,44,25%,52%,57%,86%,95%,95%,91%,84%,9%,45%,59%,91%,84%,89%,93%
Lydiard Street North,Police Lane,Sturt Street,East,14,14%,57%,86%,86%,93%,100%,100%,129%,43%,86%,79%,64%,64%,86%,100%
Lyons Street North,Mair Street,Sturt Street,East,38,103%,103%,103%,95%,100%,95%,66%,8%,16%,16%,26%,21%,16%,13%,8%
Lyons Street North,Mair Street,Sturt Street,West,34,56%,82%,85%,71%,94%,82%,74%,3%,3%,9%,15%,6%,12%,12%,15%
Lyons Street North,Mair Street,Webster Street,East,13,77%,100%,100%,100%,100%,85%,38%,15%,23%,31%,38%,31%,23%,31%,31%
Lyons Street South,Dana Street,Sturt Street,East,45,71%,82%,89%,93%,71%,71%,47%,18%,33%,60%,60%,67%,47%,18%,9%
Lyons Street South,Dana Street,Sturt Street,West,42,69%,81%,88%,90%,83%,79%,62%,5%,29%,38%,40%,40%,38%,33%,26%
Mair Street,Armstrong Street North,Doveton Street North,Median,12,0%,33%,75%,75%,58%,25%,33%,67%,0%,0%,17%,33%,17%,17%,17%
Mair Street,Armstrong Street North,Doveton Street North,North,6,0%,0%,50%,67%,0%,50%,50%,33%,17%,33%,33%,33%,50%,17%,0%
Mair Street,Armstrong Street North,Doveton Street North,South,6,17%,33%,50%,50%,50%,33%,50%,100%,17%,50%,50%,83%,50%,33%,33%
Mair Street,Armstrong Street North,Lydiard Street North,Median,15,7%,40%,93%,60%,100%,87%,67%,100%,13%,20%,40%,80%,87%,87%,73%
Mair Street,Armstrong Street North,Lydiard Street North,North,5,20%,60%,80%,80%,80%,100%,20%,120%,40%,40%,20%,60%,60%,20%,20%
Mair Street,Armstrong Street North,Lydiard Street North,South,9,22%,44%,67%,67%,89%,44%,89%,100%,11%,56%,56%,56%,89%,56%,78%
Mair Street,Coffee Palace Lane,Grenville Street North,North,22,27%,91%,95%,91%,68%,36%,32%,73%,5%,55%,55%,77%,41%,36%,9%
Mair Street,Coffee Palace Lane,Lydiard Street North,North,21,81%,95%,76%,90%,81%,76%,62%,100%,57%,95%,81%,95%,43%,67%,62%
Mair Street,Davey Street,Lyons Street North,North,13,85%,92%,69%,69%,77%,85%,46%,0%,8%,46%,85%,62%,31%,8%,15%
Mair Street,Davey Street,Yuille Street,North,9,11%,33%,67%,44%,67%,67%,56%,22%,0%,0%,11%,11%,11%,0%,11%
Mair Street,Dawson Street North,Doveton Street North,South,8,88%,75%,75%,100%,100%,88%,63%,63%,38%,63%,75%,38%,38%,13%,13%
Mair Street,Dawson Street North,Lyons Street North,South,19,58%,63%,74%,68%,68%,74%,37%,0%,5%,21%,47%,53%,47%,16%,0%
Mair Street,Doveton Street North,Yuille Street,North,10,60%,90%,90%,80%,100%,60%,20%,20%,40%,60%,80%,50%,20%,20%,30%
Mair Street,Drummond Street North,Errard Street North,South,17,94%,100%,94%,100%,100%,88%,71%,59%,24%,41%,65%,76%,94%,76%,53%
Mair Street,Drummond Street North,Little Raglan Street,North,36,53%,69%,92%,67%,81%,64%,64%,47%,6%,22%,36%,44%,58%,50%,28%
Mair Street,Errard Street North,Raglan Street North,South,15,87%,87%,93%,73%,80%,67%,33%,20%,13%,20%,47%,33%,20%,33%,20%
Mair Street,Grenville Street North,Camp Street,South,36,0%,14%,33%,31%,36%,28%,39%,81%,3%,17%,8%,33%,58%,33%,6%
Mair Street,Little Raglan Street,Lyons Street North,North,30,53%,57%,57%,57%,67%,50%,13%,0%,0%,0%,0%,20%,3%,3%,0%
Mair Street,Lyons Street North,Raglan Street North,South,16,75%,81%,88%,75%,75%,56%,19%,6%,0%,6%,13%,19%,6%,0%,6%
Mair Street East,Davies Street,Grenville Street North,North,18,11%,72%,67%,78%,39%,83%,61%,0%,0%,67%,72%,67%,67%,67%,0%
Mair Street East,Davies Street,Grenville Street North,South,19,0%,53%,53%,79%,53%,68%,68%,0%,0%,47%,68%,79%,100%,79%,0%
Mair Street East,Davies Street,Peel Street North,North,14,7%,14%,29%,64%,43%,7%,36%,36%,7%,14%,14%,43%,7%,21%,14%
Mair Street East,Davies Street,Peel Street North,South,23,26%,35%,48%,57%,48%,26%,30%,48%,0%,13%,22%,35%,30%,17%,4%
